tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0118589,Glitter,actor,2.0,Dorian Harewood,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actor,2.0,Eric Benét,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actor,2.0,Grant Nickalls,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actor,2.0,Max Beesley,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actor,2.0,Terrence Howard,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actress,2.0,Ann Magnuson,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actress,2.0,Da Brat,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actress,2.0,Mariah Carey,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actress,2.0,Tia Texada,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,actress,2.0,Valarie Pettiford,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,casting_director,2.0,Victoria Thomas,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,cinematographer,2.0,Geoffrey Simpson,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,composer,2.0,Terence Blanchard,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,director,2.0,Vondie Curtis-Hall,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,editor,2.0,Jeff Freeman,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,producer,2.0,Kate Lanier,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,producer,2.0,Laurence Mark,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,production_designer,2.0,Dan Bishop,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,writer,2.0,Cheryl L. West,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0118589,Glitter,writer,2.0,Kate Lanier,104,"Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",0
tt0120912,Men in Black II,actor,6.0,David Cross,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Jack Kehler,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Johnny Knoxville,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Patrick Warburton,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Rip Torn,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Tommy Lee Jones,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Tony Shalhoub,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actor,6.0,Will Smith,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actress,6.0,Lara Flynn Boyle,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,actress,6.0,Rosario Dawson,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,casting_director,6.0,Ronna Kress,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,cinematographer,6.0,Greg Gardiner,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
