category,employee,runtimeMinutes,ProductionCompanies
archive_footage,Marlon Brando,89,"Miramax Films, Qatsi Productions, IRE Productions, Santa Fe Institute for Regional Education"
archive_footage,Marlon Brando,154,"DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions"
archive_footage,James Cagney,112,"Paramount Pictures, MTV Films"
self,Charlton Heston,120,"Alliance Atlantis Communications, TiMe Film- und TV-Produktions GmbH, Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG, Dog Eat Dog Films, Iconolatry Productions Inc., Salter Street Films International, United Broadcasting Inc."
composer,James Horner,128,"Columbia Pictures Corporation, Rising Star, Relativity Media, Phoenix Pictures, VIP 4 Medienfonds"
actor,Paul Newman,117,"DreamWorks SKG, The Zanuck Company, Twentieth Century Fox Film Corporation"
actor,Paul Newman,116,"Walt Disney Pictures, Pixar Animation Studios"
actress,Gong Li,145,"DreamWorks SKG, Spyglass Entertainment, Columbia Pictures Corporation, Red Wagon Productions"
actor,Armin Mueller-Stahl,107,"Media 8 Entertainment, Empire Films, Alla Prima Productions, Brushwork Pictures"
actor,John Cleese,93,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actor,John Cleese,93,"DreamWorks SKG, DreamWorks Animation"
actor,Brad Pitt,86,DreamWorks Animation
actor,Brad Pitt,139,"Fox Searchlight Pictures, Plan B Entertainment, River Road Entertainment"
actor,Brad Pitt,166,"Paramount Pictures, Warner Bros., Kennedy/Marshall Company, The"
actor,Brad Pitt,116,"Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II"
actor,Brad Pitt,120,"Weed Road Pictures, Summit Entertainment, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
actor,Brad Pitt,125,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III"
actor,Woody Allen,112,DreamWorks SKG
director,Woody Allen,112,DreamWorks SKG
self,Pamela Anderson,84,"Twentieth Century Fox Film Corporation, Four By Two Productions"
actress,Pamela Anderson,84,"Dimension Films, Brad Grey Pictures"
actress,Jennifer Aniston,101,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions"
actress,Jennifer Aniston,90,"Jersey Films, Loofah Productions"
actress,Jennifer Aniston,97,"Village Roadshow Pictures, Section Eight, Spring Creek Productions, Warner Bros."
actress,Jennifer Aniston,105,"Bel Air Entertainment, Warner Bros., Robert Lawrence Productions, Metal Productions Inc., Maysville Pictures"
actress,Jennifer Aniston,88,Sony Pictures
actress,Jennifer Aniston,106,"Universal Pictures, Mosaic Media Group, Wild West Picture Show Productions"
actress,Patricia Arquette,103,"Propaganda Films, The Turman-Morrissey Company, Nu Image Films"
actress,Patricia Arquette,96,"Fine Line Features, Senator Film Produktion, Beverly Detroit, StudioCanal, Partizan, Good Machine"
actor,Rowan Atkinson,86,"Atlas Entertainment, Mosaic Media Group, Warner Bros."
actor,Dan Aykroyd,93,"Paramount Pictures, MTV Films"
actor,Dan Aykroyd,99,"Columbia Pictures, 1492 Pictures, Revolution Studios"
actor,Dan Aykroyd,99,"Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content, Flower Films (II)"
actor,Kevin Bacon,138,"Village Roadshow Pictures, Malpaso Productions, NPV Entertainment, Warner Bros."
actor,Kevin Bacon,107,Serendipity Point Films
actor,Antonio Banderas,102,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios"
actor,Antonio Banderas,118,"New Line Cinema, Tiara Blu Films"
actor,Antonio Banderas,112,"Mosaic Media Group, El Norte Productions, Nuyorican Productions, Mobius Entertainment Ltd."
actor,Antonio Banderas,93,"DreamWorks SKG, DreamWorks Animation"
actor,Antonio Banderas,88,"Dimension Films, Troublemaker Studios, Miramax"
actor,Antonio Banderas,100,Dimension Films
actor,Antonio Banderas,84,Dimension Films
actor,Antonio Banderas,93,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actress,Adrienne Barbeau,85,"Regent Entertainment, ACH, Christopher Filmcapital"
actress,Drew Barrymore,106,"Columbia Pictures, Wonderland Sound and Vision, Tall Trees Productions, Flower Films (II)"
actress,Drew Barrymore,87,"Imagine Entertainment, Universal Pictures, Universal Animation Studios"
actress,Drew Barrymore,113,"Miramax Films, Allied Filmmakers, Mad Chance"
actress,Drew Barrymore,132,Columbia Pictures
actress,Drew Barrymore,99,"Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content, Flower Films (II)"
actress,Kim Basinger,90,"Capitol Films, Equity Pictures Medienfonds GmbH & Co. KG"
actress,Kim Basinger,108,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Sentinel Productions, Furthur Films"
actress,Kim Basinger,110,"Imagine Entertainment, Mikona Productions GmbH & Co. KG"
actor,Matthew Broderick,104,"Universal Pictures, Image Entertainment, Relativity Media, Rat Entertainment"
actor,Matthew Broderick,134,"Sony Pictures, Gaumont Columbia Tristar Films"
actor,Matthew Broderick,87,"Jim Henson Pictures, Metro-Goldwyn-Mayer (MGM)"
actor,Matthew Broderick,93,"Paramount Pictures, De Line Pictures, DreamWorks Pictures"
actor,Matthew Broderick,91,"Pacific Data Images (PDI), DreamWorks Animation, Columbus 81 Productions"
actor,Pierce Brosnan,97,"New Line Cinema, Contrafilm, Firm Films"
actress,Sandra Bullock,116,"All Girl Productions, Gaylord Productions"
actress,Sandra Bullock,96,"TriStar Pictures, Hyde Park Films, Offspring Entertainment"
actress,Sandra Bullock,99,"Village Roadshow Pictures, Vertigo Entertainment, Sound for Film, Warner Bros."
