Feature	Importances
averageRating	0.005396795813816315
Aamir Khan	7.672033785765876e-21
Aankha Neal	0.0
Aaron Eckhart	8.084477328798092e-19
Aaron Murphy	2.3405118619213074e-20
Aaron Taylor-Johnson	1.7127112891232486e-19
Abby Mukiibi Nkaaga	3.278624267655223e-20
Abigail Breslin	0.0
Adam Baldwin	0.0
Adam Goldberg	1.5303287993832184e-05
Adam Kotz	4.4693280891600245e-20
Ade	3.9815098613265413e-19
Adewale Akinnuoye-Agbaje	0.0
Adil Hussain	2.0595191666300575e-17
Adrian Rawlins	9.200219853005159e-19
Adrien Brody	0.0
Ahmad Khan Mahmoodzada	1.107375961079456e-19
Ahmed Khan	0.0
Aida Leiner	0.0
Ailton Graça	0.0
Aino-Maija Tikkanen	1.3383373967976587e-11
Aishwarya Rai Bachchan	1.1556027222400463e-08
Aitana Sánchez-Gijón	0.0
Aki Maeda	7.485811033068963e-21
Akihiro Miwa	0.0
Akiko Takeshita	1.2790891134328972e-18
Akio Ôtsuka	0.0
Akira Yamaguchi	0.0
Akshaye Khanna	1.3530155576434992e-20
Al Pacino	0.0
Alain Eloy	1.4509303473155236e-09
Alan Alda	2.1021712742852695e-21
Alan Arkin	2.8830859420383596e-06
Alan Howard	2.178822229894819e-05
Alan Oke	2.5330410817712353e-06
Alan Rickman	0.0
Alan Tudyk	3.611318639794054e-08
Albert Brooks	2.1575423345619684e-17
Albert Delpy	0.0
Albert Finney	9.904409597415812e-18
Alberto Jiménez	2.9734346278206655e-20
Alec Baldwin	4.265058163480329e-18
Aleksandar Bercek	0.0
Alex Ferns	0.0
Alex Kelly	6.702198262610996e-22
Alex Palmer	5.207584971787464e-19
Alexander Armstrong	2.8840460076880224e-19
Alexander Beyer	0.0
Alexander Gould	0.0
Alexandra Maria Lara	5.911851225312022e-19
Alexandre Rodrigues	3.33571844657803e-20
Alexis Bledel	1.7323100586572927e-06
Alfred Molina	0.0
Ali Astin	0.0
Ali Kazim	0.0
Alice Braga	0.0
Alice Patten	0.0
Alicia Vikander	0.0
Alison Garland	8.168937157143173e-21
Alison Lohman	0.0
Alison Pill	8.213619967931781e-22
Allison Janney	5.1779236983588975e-18
Alysia Reiner	4.185877068744868e-21
Amancay Espíndola	0.0
Ambrosia Kelley	0.0
Amilcar Ramírez	3.6528585506947704e-19
Amitabh Bachchan	1.2326193663204703e-20
Amy Adams	0.0
Amy Madigan	7.627006682438867e-21
Amy Ryan	3.639629970761938e-21
Amy Smart	7.146393746364654e-19
Ana López Mercado	3.488748390647281e-20
Ananya Khare	0.0
Andrew Chavez	5.337931097027345e-18
Andrew Pleavin	1.9291231108020995e-17
Andrew Tiernan	0.0
André Dussollier	1.5137597688347343e-18
André Holland	0.0
Andrés Herrera	1.2417054594419163e-18
Andy Beckwith	6.801496896220884e-07
Andy Serkis	2.09350731657284e-05
Angela Lindvall	0.0
Angelina Jolie	1.751666430680283e-17
Anggun	9.17021408213401e-19
Anjelica Huston	1.8130110716382865e-19
Anna Faris	0.0
Anna Hopkins	6.041252134666708e-21
Anna Keaveney	0.0
Anna Kendrick	0.0
Anna Massey	0.0
Anna Paquin	5.472429313187936e-22
Anna Sigalevitch	0.0
Anne Consigny	0.0
Annie Girardot	0.0
Annie Whittle	0.0
Anointing Lukola	1.7239159211385985e-19
Anthony Anderson	0.0
Anthony Daniels	0.0
Anthony Edwards	0.0
Anthony Hopkins	2.6439378176500082e-20
Anthony Mackie	2.4674302097650442e-18
Anthony Rapp	0.0
Anthony-Michael Q. Thomas	3.66823790752168e-06
Antonio de la Torre	0.0
Antony Coleman	1.6752285815232396e-19
Antony Starr	2.6314247903471736e-21
Anupam Kher	3.6305379572294534e-21
April Hernandez Castillo	7.416016964092221e-08
Ariadna Gil	5.928847073940077e-19
Ariel Waller	1.5663915273916375e-21
Arnold Vosloo	9.33044262086626e-20
Art Chudabala	2.5332358135730686e-06
Arthur Taxier	0.0
Arturo Ríos	3.5697285940692564e-20
Ashton Holmes	5.734293544629143e-18
Ashton Kutcher	4.562300502039621e-19
Atossa Leoni	2.341840439737168e-19
Atul Kulkarni	0.0
Aubrey Plaza	1.113321164252675e-21
Audrey Tautou	5.0122526298602076e-18
Aunjanue Ellis-Taylor	0.0
Austin Pendleton	4.192023806066367e-17
Ayaan Khan	1.2898007283088856e-17
Ayelet Zurer	2.758039992589844e-19
Ayub Khan	6.76160586523324e-09
Ayush Tandon	1.879646885197911e-17
Bachan Pachehra	0.0
Badi Uzzaman	0.0
Bae Doona	0.0
Baek Jong-hak	0.0
Barry Cassin	3.80082382623779e-20
Barry Corbin	2.5896818683795538e-18
Barry Del Sherman	1.9040216053451533e-19
Barry Pepper	0.0
Barry Shabaka Henley	0.0
Basil Wallace	6.729573057848894e-19
Belén Rueda	2.7658105305147433e-20
Ben Foster	0.0
Ben Gazzara	0.0
Ben Kingsley	1.6604384525082603e-20
Ben Miles	0.0
Ben Shenkman	0.0
Ben Stiller	1.2745089102083428e-19
Ben Whishaw	0.0
Bence Mátyássy	0.0
Benicio Del Toro	1.9628433278480976e-18
Benito Martinez	1.2337709577391068e-18
Benno Fürmann	0.0
Benoît Magimel	2.017818901336948e-21
Benu Mabhena	2.814712566282322e-19
Bernie Mac	2.1896899988098195e-18
Bernie Rachelle	1.2266994990816548e-18
Bill Murray	1.4203207718816681e-18
Bill Nighy	1.9208711296835808e-18
Bill Nunn	3.36016840086448e-17
Bill Sage	5.653479615986696e-20
Bill Smitrovich	1.4542715233070476e-17
Billie Whitelaw	6.882871665305788e-19
Billy Boyd	1.7077041004369445e-05
Billy Connolly	0.0
Billy Crudup	6.201364847164838e-19
Billy Crystal	0.0
Billy Fane	0.0
Bindu De Stoppani	7.817584738082729e-07
Björk	2.2737763744560126e-20
Blair Brown	0.0
Blanca Portillo	0.0
Bob Hoskins	1.2573334265146339e-20
Bob Peterson	0.0
Bob Stephenson	0.0
Bobby Block	4.820021532964136e-18
Bobby Cannavale	2.1952510605667477e-21
Bogdan Diklic	0.0
Bokeem Woodbine	6.90307826776902e-19
Boman Irani	1.1007267411474483e-20
Bonnie Wright	2.5242664392387383e-18
Brad Garrett	2.1637542794901337e-17
Brad Pitt	7.118604870081349e-18
Brad Silverman	1.3658382538844177e-07
Brandy Little	1.531899577211034e-22
Branislav Lalevic	0.0
Branko Djuric	0.0
Brasse Brännström	0.0
Brenda Blethyn	4.535380681400406e-19
Brenda Canela	1.0042670669777025e-18
Brendan Costello	8.785439039825554e-20
Brendan Gleeson	2.1963640030686287e-17
Brent Briscoe	0.0
Brian Cox	6.615955312673009e-07
Brian Dennehy	0.0
Brian Howe	1.6219232787163092e-17
Brian Markinson	0.0
Briana Corrigan	4.9303325309169834e-20
Bridget Moynahan	0.0
Brooke Smith	4.371732964371048e-21
Brooklynn Proulx	0.0
Bruce Allpress	0.0
Bruce McGill	0.0
Bruce Willis	5.145021946235373e-20
Bruno Ganz	2.516719129161131e-19
Brían F. O'Byrne	4.658822746226402e-18
Burghart Klaußner	0.0
Byun Hee-Bong	0.0
C.J. Sanders	9.20394050730207e-07
Caetano Veloso	1.7156363758862331e-19
Caio Blat	0.0
Callum Keith Rennie	5.186383711377374e-20
Cameron Bright	7.266580901052752e-21
Cameron Diaz	1.54258837543704e-17
Cara D. Briggs	1.7751260812833268e-06
Cara Seymour	3.253937765880056e-21
Carey Mulligan	4.2772652773681243e-19
Carice van Houten	0.0
Carla Gugino	4.503477290009644e-19
Carlos Andrés Gómez	3.661344883654082e-18
Carlos Blanco	0.0
Carlos Emilio Báez	0.0
Carlos Gómez	0.0
Carly Nahon	3.1138488339746226e-20
Carmen Maura	0.0
Carol Florence	0.0
Carol McGuigan	0.0
Caroline O'Connor	0.0
Carrie-Anne Moss	1.9176301674809102e-20
Cary Elwes	0.0
Casey Affleck	1.2375404344464706e-20
Cate Blanchett	0.0
Caterina Murino	8.106534850126413e-18
Catherine Deneuve	1.2884382255207812e-20
Catherine Keener	1.1976414814741684e-07
Catherine Zeta-Jones	3.9833986476610865e-18
Cecelia Ann Birt	3.8621142002870196e-18
Cedric The Entertainer	7.670801196028634e-05
Celso Bugallo	0.0
Chad Lindberg	1.3909694332814123e-05
Chadwick Boseman	4.465452115000427e-07
Chang Chen	3.0706166947713203e-18
Chang Xiao Yang	1.0298150944667759e-18
Chantal Neuwirth	9.760237908764674e-19
Charles Berling	0.0
Charles Durning	1.3433626171576694e-19
Charles Techman	5.425667430945758e-19
Charley Ramm	3.017019836918411e-07
Charlotte Gainsbourg	2.7209408024014636e-07
Charly Hübner	4.530618173936958e-19
Chia-Hui Liu	0.0
Chiaki Kuriyama	0.0
Chieko Baishô	8.92819605785862e-06
Chiwetel Ejiofor	1.9688582243413002e-18
Chloë Sevigny	5.1913869085302014e-21
Choi Min-sik	1.7162863709537498e-21
Chow Yun-Fat	4.6990678667730204e-18
Chris Cooper	1.948715630228598e-18
Chris Larkin	5.082671564312157e-07
Chris Miller	1.2767080643933863e-17
Chris Thomas King	0.0
Chris Waitt	4.3174170000161615e-19
Christian Bale	2.1862213073327982e-17
Christian Berkel	0.0
Christine Schorn	0.0
Christoph Waltz	9.178813353202866e-18
Christopher Adamson	9.658816996476645e-20
Christopher Dunne	0.0
Christopher Eccleston	4.373070773506947e-19
