tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0145937,Naqoyqatsi,archive_footage,6.0,Marlon Brando,89,"Miramax Films, Qatsi Productions, IRE Productions, Santa Fe Institute for Regional Education",0
tt0348150,Superman Returns,archive_footage,6.0,Marlon Brando,154,"DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions",0
tt0343121,Tupac: Resurrection,archive_footage,8.0,James Cagney,112,"Paramount Pictures, MTV Films",25
tt0310793,Bowling for Columbine,self,8.0,Charlton Heston,120,"Alliance Atlantis Communications, TiMe Film- und TV-Produktions GmbH, Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG, Dog Eat Dog Films, Iconolatry Productions Inc., Salter Street Films International, United Broadcasting Inc.",7
tt0405676,All the King's Men,composer,6.0,James Horner,128,"Columbia Pictures Corporation, Rising Star, Relativity Media, Phoenix Pictures, VIP 4 Medienfonds",0
tt0257044,Road to Perdition,actor,8.0,Paul Newman,117,"DreamWorks SKG, The Zanuck Company, Twentieth Century Fox Film Corporation",1
tt0317219,Cars,actor,7.0,Paul Newman,116,"Walt Disney Pictures, Pixar Animation Studios",2
tt0397535,Memoirs of a Geisha,actress,7.0,Gong Li,145,"DreamWorks SKG, Spyglass Entertainment, Columbia Pictures Corporation, Red Wagon Productions",0
tt0472126,Local Color,actor,7.0,Armin Mueller-Stahl,107,"Media 8 Entertainment, Empire Films, Alla Prima Productions, Brushwork Pictures",0
tt0298148,Shrek 2,actor,7.0,John Cleese,93,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",5
tt0413267,Shrek the Third,actor,6.0,John Cleese,93,"DreamWorks SKG, DreamWorks Animation",3
tt0165982,Sinbad: Legend of the Seven Seas,actor,7.0,Brad Pitt,86,DreamWorks Animation,0
tt0478304,The Tree of Life,actor,7.0,Brad Pitt,139,"Fox Searchlight Pictures, Plan B Entertainment, River Road Entertainment",0
tt0421715,The Curious Case of Benjamin Button,actor,8.0,Brad Pitt,166,"Paramount Pictures, Warner Bros., Kennedy/Marshall Company, The",1
tt0240772,Ocean's Eleven,actor,8.0,Brad Pitt,116,"Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II",4
tt0356910,Mr. & Mrs. Smith,actor,7.0,Brad Pitt,120,"Weed Road Pictures, Summit Entertainment, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures",3
tt0349903,Ocean's Twelve,actor,7.0,Brad Pitt,125,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III",2
tt0278823,Hollywood Ending,actor,7.0,Woody Allen,112,DreamWorks SKG,-1
tt0278823,Hollywood Ending,director,7.0,Woody Allen,112,DreamWorks SKG,-1
tt0443453,Borat,self,7.0,Pamela Anderson,84,"Twentieth Century Fox Film Corporation, Four By Two Productions",13
tt0306047,Scary Movie 3,actress,6.0,Pamela Anderson,84,"Dimension Films, Brad Grey Pictures",3
tt0315327,Bruce Almighty,actress,7.0,Jennifer Aniston,101,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions",5
tt0343135,Along Came Polly,actress,6.0,Jennifer Aniston,90,"Jersey Films, Loofah Productions",3
tt0398375,Rumor Has It...,actress,6.0,Jennifer Aniston,97,"Village Roadshow Pictures, Section Eight, Spring Creek Productions, Warner Bros.",0
tt0202470,Rock Star,actress,6.0,Jennifer Aniston,105,"Bel Air Entertainment, Warner Bros., Robert Lawrence Productions, Metal Productions Inc., Maysville Pictures",0
tt0436331,Friends with Money,actress,6.0,Jennifer Aniston,88,Sony Pictures,1
tt0452594,The Break-Up,actress,6.0,Jennifer Aniston,106,"Universal Pictures, Mosaic Media Group, Wild West Picture Show Productions",2
tt0286493,The Badge,actress,6.0,Patricia Arquette,103,"Propaganda Films, The Turman-Morrissey Company, Nu Image Films",-1
tt0219822,Human Nature,actress,6.0,Patricia Arquette,96,"Fine Line Features, Senator Film Produktion, Beverly Detroit, StudioCanal, Partizan, Good Machine",0
tt0267913,Scooby-Doo,actor,5.0,Rowan Atkinson,86,"Atlas Entertainment, Mosaic Media Group, Warner Bros.",2
tt0275022,Crossroads,actor,4.0,Dan Aykroyd,93,"Paramount Pictures, MTV Films",4
tt0388419,Christmas with the Kranks,actor,6.0,Dan Aykroyd,99,"Columbia Pictures, 1492 Pictures, Revolution Studios",-1
tt0343660,50 First Dates,actor,7.0,Dan Aykroyd,99,"Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content, Flower Films (II)",1
tt0327056,Mystic River,actor,8.0,Kevin Bacon,138,"Village Roadshow Pictures, Malpaso Productions, NPV Entertainment, Warner Bros.",5
tt0373450,Where the Truth Lies,actor,6.0,Kevin Bacon,107,Serendipity Point Films,-1
tt0285823,Once Upon a Time in Mexico,actor,6.0,Antonio Banderas,102,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios",2
tt0446046,Take the Lead,actor,7.0,Antonio Banderas,118,"New Line Cinema, Tiara Blu Films",0
tt0445935,Bordertown,actor,6.0,Antonio Banderas,112,"Mosaic Media Group, El Norte Productions, Nuyorican Productions, Mobius Entertainment Ltd.",-1
tt0413267,Shrek the Third,actor,6.0,Antonio Banderas,93,"DreamWorks SKG, DreamWorks Animation",3
tt0227538,Spy Kids,actor,6.0,Antonio Banderas,88,"Dimension Films, Troublemaker Studios, Miramax",3
tt0287717,Spy Kids 2: Island of Lost Dreams,actor,5.0,Antonio Banderas,100,Dimension Films,2
tt0338459,Spy Kids 3: Game Over,actor,4.0,Antonio Banderas,84,Dimension Films,4
